"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"22262","Seychelles",2020-07-29,190,114,0,0,0,39,0,75,116.3,0,76.5,0,0,19,0
"22403","Sierra Leone",2020-07-29,190,1803,17,67,1,1355,19,381,22.6,0.2,4.8,0.8,0,92,85
"22468","Singapore",2020-07-29,190,51531,334,27,0,46098,205,5406,880.9,5.7,92.4,0.5,0,151,106
"22631","Slovakia",2020-07-29,190,2245,41,28,0,1660,16,557,41.1,0.8,10.2,0.5,0,133,102
"22857","Slovenia",2020-07-29,190,2115,14,117,0,1761,19,237,101.7,0.7,11.4,5.6,0,138,122
"23010","Somalia",2020-07-29,190,3212,0,93,0,1562,0,1557,20.2,0,9.8,0.6,0,103,97
"23098","South Africa",2020-07-29,190,471123,11362,7497,240,297967,10654,165659,794.4,19.2,279.3,12.6,0.4,133,115
"23228","South Sudan",2020-07-29,190,2322,17,46,0,1175,0,1101,20.7,0.2,9.8,0.4,0,82,63
"23425","Spain",2020-07-29,190,282641,2031,28441,5,150376,0,103824,604.5,4.3,222.1,60.8,0,149,144
"23569","Sri Lanka",2020-07-29,190,2810,0,11,0,2317,21,482,13.1,0,2.3,0.1,0,127,65
"23682","Sudan",2020-07-29,190,11496,0,725,0,6001,0,4770,26.2,0,10.9,1.7,0,100,102
"23831","Suriname",2020-07-29,190,1607,97,26,2,1003,38,578,273.8,16.5,98.5,4.4,0.3,53,35
"24004","Sweden",2020-07-29,190,79782,288,5730,28,0,0,74052,790,2.9,733.3,56.7,0.3,145,133
"24247","Switzerland",2020-07-29,190,34802,193,1979,1,31100,100,1723,402.1,2.2,19.9,22.9,0,146,138
"24312","Syria",2020-07-29,190,717,23,40,0,229,9,448,4.1,0.1,2.6,0.2,0,65,26
"24481","Taiwan",2020-07-29,190,467,0,7,0,440,0,20,2,0,0.1,0,0,133,0
"24638","Tajikistan",2020-07-29,190,7320,44,60,0,6103,38,1157,76.7,0.5,12.1,0.6,0,87,83
"24811","Tanzania, United Republic of",2020-07-29,190,509,0,21,0,183,0,305,0.9,0,0.5,0,0,103,100
"24946","Thailand",2020-07-29,190,3298,1,58,0,3111,0,129,4.7,0,0.2,0.1,0,136,120
"25067","The Bahamas",2020-07-29,190,484,37,11,0,91,0,382,123.2,9.4,97.2,2.8,0,67,97
"25239","The Gambia",2020-07-29,190,326,0,8,0,66,0,252,13.5,0,10.4,0.3,0,9,0
"25317","Timor-Leste",2020-07-29,190,24,0,0,0,24,0,0,1.8,0,0,0,0,0,0
"25489","Togo",2020-07-29,190,896,0,18,0,612,0,266,10.8,0,3.2,0.2,0,91,82
"25690","Trinidad and Tobago",2020-07-29,190,156,3,8,0,128,0,20,11.2,0.2,1.4,0.6,0,116,0
"25770","Tunisia",2020-07-29,190,1488,20,50,0,1178,10,260,12.6,0.2,2.2,0.4,0,127,120
"25985","Turkey",2020-07-29,190,228924,942,5659,14,212557,996,10708,271.4,1.1,12.7,6.7,0,132,129
"26056","Uganda",2020-07-29,190,1140,5,2,0,1028,39,110,2.5,0,0.2,0,0,84,0
"26299","UK",2020-07-29,190,303063,802,46046,83,1438,0,255579,446.4,1.2,376.5,67.8,0.1,149,138
"26390","Ukraine",2020-07-29,190,69078,1048,1673,23,38523,671,28882,158,2.4,66,3.8,0.1,126,122
"26459","United Arab Emirates",2020-07-29,190,59921,375,347,0,53202,297,6372,605.9,3.8,64.4,3.5,0,133,116
"26689","Uruguay",2020-07-29,190,1237,19,35,0,967,9,235,35.6,0.5,6.8,1,0,131,101
"26945","USA",2020-07-29,190,4426982,70776,150713,1403,1389425,34062,2886844,1337.4,21.4,872.2,45.5,0.4,147,147
"27098","Uzbekistan",2020-07-29,190,22585,886,131,7,12937,911,9517,67.5,2.6,28.4,0.4,0,123,87
"27213","Venezuela",2020-07-29,190,17158,587,156,5,10421,226,6581,60.3,2.1,23.1,0.5,0,125,99
"27411","Vietnam",2020-07-29,190,459,13,0,0,369,0,90,0.5,0,0.1,0,0,129,0
"27465","West Bank and Gaza",2020-07-29,190,11284,346,80,1,4833,1081,6371,235.1,7.2,132.7,1.7,0,122,26
"27638","Western Sahara",2020-07-29,190,10,0,1,0,8,0,1,1.7,0,0.2,0.2,0,0,0
"27743","Yemen",2020-07-29,190,1711,8,485,1,849,9,377,5.7,0,1.3,1.6,0,75,78
"27890","Zambia",2020-07-29,190,5249,247,146,4,3285,90,1818,28.6,1.3,9.9,0.8,0,90,51
"28054","Zimbabwe",2020-07-29,190,2879,62,41,1,887,283,1951,19.4,0.4,13.1,0.3,0,63,19
